"burchtID";"Jaar";"status";"bewoning";"Gebied"
397;2016;"Bijburcht";"Bewoond";"Haspengouw"
397;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
397;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
398;2018;"Bijburcht";"Bewoond";"Haspengouw"
398;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
399;2018;"Ongekend";"Ongekend";"Haspengouw"
400;2017;"Hoofdburcht";"Ongekend";"Haspengouw"
400;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
400;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
401;2018;"Bijburcht";"Bewoond";"Haspengouw"
402;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
402;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
402;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
403;2016;"Bijburcht";"Bewoond";"Haspengouw"
404;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
404;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
405;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
406;2016;"Hoofdburcht";"Bewoond";"Voeren"
407;2018;"Hoofdburcht";"Niet_bewoond";"Haspengouw"
407;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
407;2016;"Hoofdburcht";"Bewoond";"Haspengouw"
